hospital_id,hospital_name,ownership,area,beds,icu_beds,ventilators,bed_occupancy_rate,contact_phone,patient_load_label
501,Niramay Hospital 501,Private,Mandrup,41,6,5,0.65,+91-941-180-3226,MEDIUM
502,Sahyadri Hospital 502,Public,Shivaji Nagar,148,13,14,0.62,+91-974-550-5460,MEDIUM
503,Niramay Hospital 503,Private,Akluj,296,18,35,0.84,+91-934-347-5348,HIGH
504,Shree Hospital 504,Public,Karkhana,194,19,7,0.69,+91-955-784-4296,MEDIUM
505,Arogya Hospital 505,Public,Mangalwedha Road,148,5,6,0.58,+91-937-322-6070,LOW
506,City Hospital 506,Private,Mangalwedha Road,74,13,8,0.45,+91-992-401-8535,LOW
507,Shree Hospital 507,Private,Siddheshwar Peth,116,9,4,0.44,+91-947-212-9238,LOW
508,Sahyadri Hospital 508,Private,Karkhana,371,8,43,0.67,+91-918-450-6625,MEDIUM
509,Shree Hospital 509,Public,Siddheshwar Peth,370,44,9,0.7,+91-932-786-9960,MEDIUM
510,Sahyadri Hospital 510,Private,Sangola Road,475,25,6,0.69,+91-980-254-7531,MEDIUM
511,Niramay Hospital 511,Public,Mohol,83,12,9,0.47,+91-960-325-8753,LOW
512,Arogya Hospital 512,Private,Station Road,289,46,25,0.57,+91-978-680-5188,LOW
513,Arogya Hospital 513,Private,Shivaji Nagar,301,26,35,0.81,+91-924-583-8074,HIGH
514,City Hospital 514,Private,Mangalwedha Road,144,6,20,0.48,+91-929-395-3751,LOW
515,Arogya Hospital 515,Private,Kumbhari,383,48,14,0.56,+91-915-271-7367,LOW
516,Arogya Hospital 516,Private,Karkhana,226,42,14,0.48,+91-930-259-8552,LOW
517,Sahyadri Hospital 517,Public,Mandrup,106,12,14,0.87,+91-998-640-7896,HIGH
518,Shree Hospital 518,Private,Jule Solapur,489,59,29,0.46,+91-928-542-5148,LOW
519,Shree Hospital 519,Public,Karkhana,60,7,6,0.57,+91-948-670-6013,LOW
520,Shree Hospital 520,Private,Shahu Peth,229,43,6,0.68,+91-912-159-4921,MEDIUM
521,City Hospital 521,Private,Shahu Peth,190,37,26,0.55,+91-965-741-2243,LOW
522,Niramay Hospital 522,Private,Mangalwedha Road,352,32,11,0.85,+91-967-422-4496,HIGH
523,City Hospital 523,Private,Shahu Peth,437,8,6,0.51,+91-969-713-5286,LOW
524,Shree Hospital 524,Public,Station Road,117,11,3,0.94,+91-951-800-2915,HIGH
525,City Hospital 525,Private,Akluj,309,32,5,0.75,+91-965-341-9689,MEDIUM
526,Shree Hospital 526,Public,Panchavati,77,11,7,0.77,+91-961-735-7909,MEDIUM
527,Niramay Hospital 527,Public,Siddheshwar Peth,395,22,58,0.68,+91-932-274-6257,MEDIUM
528,Shree Hospital 528,Private,Barshi Road,374,46,26,0.41,+91-960-739-5119,LOW
529,Arogya Hospital 529,Public,Sangola Road,450,25,2,0.86,+91-977-456-5273,HIGH
530,Shree Hospital 530,Public,Jule Solapur,286,8,27,0.81,+91-953-224-7656,HIGH
531,Shree Hospital 531,Public,Karkhana,121,20,3,0.85,+91-996-170-2996,HIGH
532,Sahyadri Hospital 532,Public,Mandrup,347,58,14,0.52,+91-934-773-6029,LOW
533,City Hospital 533,Private,Akluj,228,7,10,0.77,+91-980-978-1392,MEDIUM
